Building,Building_Abbreviation,Room_Type,Gender,Available_Bed_Spaces,Last_Updated
Landfair Vista Apartments,LV,2 Bd/4 Person,Female,0,3/4/2025 12:01
Landfair Vista Apartments,LV,2 Bd/4 Person,Gender Inclusive,0,3/4/2025 12:01
Landfair Vista Apartments,LV,2 Bd/4 Person,Male,0,3/4/2025 12:01
Landfair Vista Apartments,LV,2 Bd/5 Person-Double,Female,0,3/4/2025 12:01
Landfair Vista Apartments,LV,2 Bd/5 Person-Double,Male,0,3/4/2025 12:01
Landfair Vista Apartments,LV,2 Bd/5 Person-Triple,Female,0,3/4/2025 12:01
Landfair Vista Apartments,LV,2 Bd/5 Person-Triple,Male,0,3/4/2025 12:01
Landfair Vista Apartments,LV,3 Bd+Loft/9 Person-Double,Gender Inclusive,0,3/4/2025 12:01
Landfair Vista Apartments,LV,3 Bd+Loft/9 Person-Triple,Gender Inclusive,0,3/4/2025 12:01
Landfair Vista Apartments,LV,3 Bd/6 Person,Female,0,3/4/2025 12:01
Landfair Vista Apartments,LV,3 Bd/6 Person,Male,0,3/4/2025 12:01
Palo Verde,PV,2 Bd/4 Person,Female,0,3/4/2025 12:01
Palo Verde,PV,2 Bd/4 Person,Male,0,3/4/2025 12:01
Palo Verde,PV,4 Bd/10 Person-Double,Female,0,3/4/2025 12:01
Palo Verde,PV,4 Bd/10 Person-Double,Gender Inclusive,0,3/4/2025 12:01
Palo Verde,PV,4 Bd/10 Person-Double,Male,1,3/4/2025 12:01
Palo Verde,PV,4 Bd/10 Person-Triple,Female,23,3/4/2025 12:01
Palo Verde,PV,4 Bd/10 Person-Triple,Gender Inclusive,1,3/4/2025 12:01
Palo Verde,PV,4 Bd/10 Person-Triple,Male,38,3/4/2025 12:01
Tipuana,TN,2 Bd/4 Person,Female,0,3/4/2025 12:01
Tipuana,TN,2 Bd/4 Person,Gender Inclusive,0,3/4/2025 12:01
Tipuana,TN,2 Bd/4 Person,Male,0,3/4/2025 12:01
Tipuana,TN,4 Bd/10 Person-Double,Female,0,3/4/2025 12:01
Tipuana,TN,4 Bd/10 Person-Double,Gender Inclusive,0,3/4/2025 12:01
Tipuana,TN,4 Bd/10 Person-Double,Male,0,3/4/2025 12:01
Tipuana,TN,4 Bd/10 Person-Triple,Female,49,3/4/2025 12:01
Tipuana,TN,4 Bd/10 Person-Triple,Gender Inclusive,0,3/4/2025 12:01
Tipuana,TN,4 Bd/10 Person-Triple,Male,105,3/4/2025 12:01
Westwood Chateau Apartments,WC,1 Bd/3 Person,Female,0,3/4/2025 12:01
Westwood Chateau Apartments,WC,1 Bd/3 Person,Male,0,3/4/2025 12:01
Westwood Chateau Apartments,WC,1 Bd/3 Person,Non-Binary,0,3/4/2025 12:01
Westwood Chateau Apartments,WC,2 Bd/4 Person,Female,0,3/4/2025 12:01
Westwood Chateau Apartments,WC,2 Bd/4 Person,Gender Inclusive,0,3/4/2025 12:01
Westwood Chateau Apartments,WC,2 Bd/4 Person,Male,0,3/4/2025 12:01
Westwood Palms Apartments,WP,1 Bd/3 Person,Female,0,3/4/2025 12:01
Westwood Palms Apartments,WP,2 Bd/3 Person-Double,Female,0,3/4/2025 12:01
Westwood Palms Apartments,WP,2 Bd/3 Person-Double,Gender Inclusive,0,3/4/2025 12:01
Westwood Palms Apartments,WP,2 Bd/3 Person-Double,Male,0,3/4/2025 12:01
Westwood Palms Apartments,WP,2 Bd/4 Person,Female,0,3/4/2025 12:01
Westwood Palms Apartments,WP,2 Bd/4 Person,Gender Inclusive,0,3/4/2025 12:01
Westwood Palms Apartments,WP,2 Bd/4 Person,Male,0,3/4/2025 12:01
De Neve Plaza,DEN,Plaza Triple/Private Bath,Female,480,2/21/2025 12:00
De Neve Plaza,DEN,Plaza Triple/Private Bath,Gender Inclusive,15,2/21/2025 12:00
De Neve Plaza,DEN,Plaza Triple/Private Bath,Male,230,2/21/2025 12:00
De Neve Plaza,DEN,Plaza Triple/Private Bath,Non-Binary,0,2/21/2025 12:00
De Neve Residence Hall,DN,Deluxe Triple,Female,205,2/21/2025 12:00
De Neve Residence Hall,DN,Deluxe Triple,Gender Inclusive,9,2/21/2025 12:00
De Neve Residence Hall,DN,Deluxe Triple,Male,85,2/21/2025 12:00
Dykstra Hall,DYK,Classic Triple,Female,418,2/21/2025 12:00
Dykstra Hall,DYK,Classic Triple,Gender Inclusive,26,2/21/2025 12:00
Dykstra Hall,DYK,Classic Triple,Male,241,2/21/2025 12:00
Hedrick Hall,HED,Classic Triple,Female,568,2/21/2025 12:00
Hedrick Hall,HED,Classic Triple,Gender Inclusive,48,2/21/2025 12:00
Hedrick Hall,HED,Classic Triple,Male,364,2/21/2025 12:00
Hitch Suites,HIT,Suite Triple/Shared Bath,Female,216,2/21/2025 12:00
Hitch Suites,HIT,Suite Triple/Shared Bath,Gender Inclusive,1,2/21/2025 12:00
Hitch Suites,HIT,Suite Triple/Shared Bath,Male,102,2/21/2025 12:00
Olympic / Centennial,OC,Deluxe Triple,Female,510,2/21/2025 12:00
Olympic / Centennial,OC,Deluxe Triple,Gender Inclusive,20,2/21/2025 12:00
Olympic / Centennial,OC,Deluxe Triple,Male,194,2/21/2025 12:00
Olympic / Centennial,OC,Deluxe Triple,Non-Binary,0,2/21/2025 12:00
Rieber Hall,RIE,Classic Triple,Female,531,2/21/2025 12:00
Rieber Hall,RIE,Classic Triple,Gender Inclusive,48,2/21/2025 12:00
Rieber Hall,RIE,Classic Triple,Male,365,2/21/2025 12:00
Rieber Terrace,RT,Plaza Triple/Private Bath,Female,0,2/21/2025 12:00
Rieber Terrace,RT,Plaza Triple/Private Bath,Male,0,2/21/2025 12:00
Rieber Terrace,RT,Plaza Triple/Private Bath,Non-Binary,0,2/21/2025 12:00
Rieber Terrace,RT,Plaza Triple/Shared Bath,Female,310,2/21/2025 12:00
Rieber Terrace,RT,Plaza Triple/Shared Bath,Gender Inclusive,28,2/21/2025 12:00
Rieber Terrace,RT,Plaza Triple/Shared Bath,Male,199,2/21/2025 12:00
Rieber Vista,RV,Plaza Triple/Private Bath,Female,0,2/21/2025 12:00
Rieber Vista,RV,Plaza Triple/Private Bath,Male,0,2/21/2025 12:00
Rieber Vista,RV,Plaza Triple/Shared Bath,Female,297,2/21/2025 12:00
Rieber Vista,RV,Plaza Triple/Shared Bath,Gender Inclusive,26,2/21/2025 12:00
Rieber Vista,RV,Plaza Triple/Shared Bath,Male,222,2/21/2025 12:00
Saxon Suites,SAX,Suite Triple/Shared Bath,Female,50,2/21/2025 12:00
Saxon Suites,SAX,Suite Triple/Shared Bath,Gender Inclusive,0,2/21/2025 12:00
Saxon Suites,SAX,Suite Triple/Shared Bath,Male,11,2/21/2025 12:00
Sproul Landing / Cove,SLC,Deluxe Triple,Female,82,2/21/2025 12:00
Sproul Landing / Cove,SLC,Deluxe Triple,Gender Inclusive,8,2/21/2025 12:00
Sproul Landing / Cove,SLC,Deluxe Triple,Male,24,2/21/2025 12:00
Sproul Landing / Cove,SLC,Deluxe Triple,Non-Binary,0,2/21/2025 12:00
Sproul Landing / Cove,SLC,Deluxe Triple,Other,2,2/21/2025 12:00
Hedrick Summit,SMT,Plaza Triple/Shared Bath,Female,397,2/21/2025 12:00
Hedrick Summit,SMT,Plaza Triple/Shared Bath,Gender Inclusive,30,2/21/2025 12:00
Hedrick Summit,SMT,Plaza Triple/Shared Bath,Male,250,2/21/2025 12:00
Sproul Hall,SPR,Classic Triple,Female,464,2/21/2025 12:00
Sproul Hall,SPR,Classic Triple,Gender Inclusive,37,2/21/2025 12:00
Sproul Hall,SPR,Classic Triple,Male,302,2/21/2025 12:00
Sunset Village,SV,Plaza Triple/Private Bath,Female,261,2/21/2025 12:00
Sunset Village,SV,Plaza Triple/Private Bath,Gender Inclusive,14,2/21/2025 12:00
Sunset Village,SV,Plaza Triple/Private Bath,Male,146,2/21/2025 12:00
Sunset Village,SV,Plaza Triple/Private Bath,Non-Binary,3,2/21/2025 12:00
Sunset Village,SV,Plaza Triple/Shared Bath,Female,310,2/21/2025 12:00
Sunset Village,SV,Plaza Triple/Shared Bath,Gender Inclusive,12,2/21/2025 12:00
Sunset Village,SV,Plaza Triple/Shared Bath,Male,232,2/21/2025 12:00
Gayley Court Apartments,GC,2 Bd/4 Person,Female,0,2/21/2025 12:00
Gayley Court Apartments,GC,2 Bd/4 Person,Gender Inclusive,0,2/21/2025 12:00
Gayley Court Apartments,GC,2 Bd/4 Person,Male,0,2/21/2025 12:00
Gayley Court Apartments,GC,2 Bd/4 Person,Non-Binary,0,2/21/2025 12:00
Gayley Heights,GH,1 Bd/3 Person,Female,0,2/21/2025 12:00
Gayley Heights,GH,1 Bd/3 Person,Gender Inclusive,0,2/21/2025 12:00
Gayley Heights,GH,1 Bd/3 Person,Male,0,2/21/2025 12:00
Gayley Heights,GH,2 Bd/5 Person-Double,Female,0,2/21/2025 12:00
Gayley Heights,GH,2 Bd/5 Person-Double,Male,0,2/21/2025 12:00
Gayley Heights,GH,2 Bd/5 Person-Triple,Female,0,2/21/2025 12:00
Gayley Heights,GH,2 Bd/5 Person-Triple,Male,0,2/21/2025 12:00
Gayley Heights,GH,2 Bd/6 Person,Female,0,2/21/2025 12:00
Gayley Heights,GH,2 Bd/6 Person,Gender Inclusive,0,2/21/2025 12:00
Gayley Heights,GH,2 Bd/6 Person,Male,0,2/21/2025 12:00
Gayley Heights,GH,2 Bd/7 Person-Quad,Female,0,2/21/2025 12:00
Gayley Heights,GH,2 Bd/7 Person-Quad,Gender Inclusive,0,2/21/2025 12:00
Gayley Heights,GH,2 Bd/7 Person-Quad,Male,0,2/21/2025 12:00
Gayley Heights,GH,2 Bd/7 Person-Triple,Female,0,2/21/2025 12:00
Gayley Heights,GH,2 Bd/7 Person-Triple,Gender Inclusive,0,2/21/2025 12:00
Gayley Heights,GH,2 Bd/7 Person-Triple,Male,0,2/21/2025 12:00
Gayley Heights,GH,3 Bd/8 Person-Double,Female,0,2/21/2025 12:00
Gayley Heights,GH,3 Bd/8 Person-Double,Male,0,2/21/2025 12:00
Gayley Heights,GH,3 Bd/8 Person-Triple,Female,0,2/21/2025 12:00
Gayley Heights,GH,3 Bd/8 Person-Triple,Male,0,2/21/2025 12:00
Gayley Heights,GH,4 Bd/10 Person-Double,Female,0,2/21/2025 12:00
Gayley Heights,GH,4 Bd/10 Person-Double,Gender Inclusive,0,2/21/2025 12:00
Gayley Heights,GH,4 Bd/10 Person-Double,Male,0,2/21/2025 12:00
Gayley Heights,GH,4 Bd/10 Person-Triple,Female,0,2/21/2025 12:00
Gayley Heights,GH,4 Bd/10 Person-Triple,Gender Inclusive,0,2/21/2025 12:00
Gayley Heights,GH,4 Bd/10 Person-Triple,Male,0,2/21/2025 12:00
Glenrock Apartments,GR,2 Bd/3 Person-Double,Female,0,2/21/2025 12:00
Glenrock Apartments,GR,2 Bd/3 Person-Double,Male,0,2/21/2025 12:00
Glenrock Apartments,GR,2 Bd/4 Person,Female,0,2/21/2025 12:00
Glenrock Apartments,GR,2 Bd/4 Person,Gender Inclusive,0,2/21/2025 12:00
Glenrock Apartments,GR,2 Bd/4 Person,Male,0,2/21/2025 12:00
Glenrock West Apartments,GW,1 Bd/3 Person,Female,0,2/21/2025 12:00
Glenrock West Apartments,GW,1 Bd/3 Person,Gender Inclusive,0,2/21/2025 12:00
Glenrock West Apartments,GW,1 Bd/3 Person,Male,0,2/21/2025 12:00
Glenrock West Apartments,GW,1 Bd/3 Person,Non-Binary,1,2/21/2025 12:00
Glenrock West Apartments,GW,2 Bd/3 Person-Double,Female,0,2/21/2025 12:00
Glenrock West Apartments,GW,2 Bd/3 Person-Double,Male,0,2/21/2025 12:00
Glenrock West Apartments,GW,2 Bd/4 Person,Female,0,2/21/2025 12:00
Glenrock West Apartments,GW,2 Bd/4 Person,Gender Inclusive,0,2/21/2025 12:00
Glenrock West Apartments,GW,2 Bd/4 Person,Male,0,2/21/2025 12:00
Laurel,LA,2 Bd/4 Person,Female,0,2/21/2025 12:00
Laurel,LA,2 Bd/4 Person,Gender Inclusive,0,2/21/2025 12:00
Laurel,LA,2 Bd/4 Person,Male,0,2/21/2025 12:00
Laurel,LA,2 Bd/4 Person,Non-Binary,0,2/21/2025 12:00
Laurel,LA,4 Bd/10 Person-Double,Female,0,2/21/2025 12:00
Laurel,LA,4 Bd/10 Person-Double,Gender Inclusive,0,2/21/2025 12:00
Laurel,LA,4 Bd/10 Person-Double,Male,0,2/21/2025 12:00
Laurel,LA,4 Bd/10 Person-Double,Non-Binary,0,2/21/2025 12:00
Laurel,LA,4 Bd/10 Person-Triple,Female,56,2/21/2025 12:00
Laurel,LA,4 Bd/10 Person-Triple,Gender Inclusive,0,2/21/2025 12:00
Laurel,LA,4 Bd/10 Person-Triple,Male,88,2/21/2025 12:00
Laurel,LA,4 Bd/10 Person-Triple,Non-Binary,4,2/21/2025 12:00
Landfair Apartments,LF,2 Bd/4 Person,Female,0,2/21/2025 12:00
Landfair Apartments,LF,2 Bd/4 Person,Gender Inclusive,0,2/21/2025 12:00
Landfair Apartments,LF,2 Bd/4 Person,Male,0,2/21/2025 12:00
Levering Terrace Apartments,LT,1 Bd/3 Person,Female,0,2/21/2025 12:00
Levering Terrace Apartments,LT,1 Bd/3 Person,Male,0,2/21/2025 12:00
Levering Terrace Apartments,LT,2 Bd/7 Person-Quad,Female,0,2/21/2025 12:00
Levering Terrace Apartments,LT,2 Bd/7 Person-Quad,Male,0,2/21/2025 12:00
Levering Terrace Apartments,LT,2 Bd/7 Person-Triple,Female,0,2/21/2025 12:00
Levering Terrace Apartments,LT,2 Bd/7 Person-Triple,Male,0,2/21/2025 12:00
Levering Terrace Apartments,LT,2 Bd/8 Person,Female,0,2/21/2025 12:00
Levering Terrace Apartments,LT,2 Bd/8 Person,Gender Inclusive,0,2/21/2025 12:00
Levering Terrace Apartments,LT,2 Bd/8 Person,Male,8,2/21/2025 12:00
Landfair Vista Apartments,LV,2 Bd+Loft/5 Person-Double,Female,0,2/21/2025 12:00
Landfair Vista Apartments,LV,2 Bd+Loft/6 Person,Female,0,2/21/2025 12:00
Landfair Vista Apartments,LV,2 Bd+Loft/6 Person,Male,0,2/21/2025 12:00
Landfair Vista Apartments,LV,2 Bd/4 Person,Female,0,2/21/2025 12:00
Landfair Vista Apartments,LV,2 Bd/4 Person,Gender Inclusive,0,2/21/2025 12:00
Landfair Vista Apartments,LV,2 Bd/4 Person,Male,0,2/21/2025 12:00
Landfair Vista Apartments,LV,2 Bd/5 Person-Double,Female,0,2/21/2025 12:00
Landfair Vista Apartments,LV,2 Bd/5 Person-Double,Male,0,2/21/2025 12:00
Landfair Vista Apartments,LV,2 Bd/5 Person-Triple,Female,0,2/21/2025 12:00
Landfair Vista Apartments,LV,2 Bd/5 Person-Triple,Male,0,2/21/2025 12:00
Landfair Vista Apartments,LV,3 Bd+Loft/9 Person-Double,Gender Inclusive,0,2/21/2025 12:00
Landfair Vista Apartments,LV,3 Bd+Loft/9 Person-Triple,Gender Inclusive,0,2/21/2025 12:00
Landfair Vista Apartments,LV,3 Bd/6 Person,Female,0,2/21/2025 12:00
Landfair Vista Apartments,LV,3 Bd/6 Person,Male,0,2/21/2025 12:00
Palo Verde,PV,2 Bd/4 Person,Female,0,2/21/2025 12:00
Palo Verde,PV,2 Bd/4 Person,Male,0,2/21/2025 12:00
Palo Verde,PV,4 Bd/10 Person-Double,Female,0,2/21/2025 12:00
Palo Verde,PV,4 Bd/10 Person-Double,Gender Inclusive,0,2/21/2025 12:00
Palo Verde,PV,4 Bd/10 Person-Double,Male,0,2/21/2025 12:00
Palo Verde,PV,4 Bd/10 Person-Triple,Female,44,2/21/2025 12:00
Palo Verde,PV,4 Bd/10 Person-Triple,Gender Inclusive,0,2/21/2025 12:00
Palo Verde,PV,4 Bd/10 Person-Triple,Male,43,2/21/2025 12:00
Tipuana,TN,2 Bd/4 Person,Female,0,2/21/2025 12:00
Tipuana,TN,2 Bd/4 Person,Gender Inclusive,0,2/21/2025 12:00
Tipuana,TN,2 Bd/4 Person,Male,0,2/21/2025 12:00
Tipuana,TN,4 Bd/10 Person-Double,Female,0,2/21/2025 12:00
Tipuana,TN,4 Bd/10 Person-Double,Gender Inclusive,0,2/21/2025 12:00
Tipuana,TN,4 Bd/10 Person-Double,Male,0,2/21/2025 12:00
Tipuana,TN,4 Bd/10 Person-Triple,Female,64,2/21/2025 12:00
Tipuana,TN,4 Bd/10 Person-Triple,Gender Inclusive,0,2/21/2025 12:00
Tipuana,TN,4 Bd/10 Person-Triple,Male,123,2/21/2025 12:00
Westwood Chateau Apartments,WC,1 Bd/3 Person,Female,0,2/21/2025 12:00
Westwood Chateau Apartments,WC,1 Bd/3 Person,Male,0,2/21/2025 12:00
Westwood Chateau Apartments,WC,1 Bd/3 Person,Non-Binary,0,2/21/2025 12:00
Westwood Chateau Apartments,WC,2 Bd/4 Person,Female,0,2/21/2025 12:00
Westwood Chateau Apartments,WC,2 Bd/4 Person,Gender Inclusive,0,2/21/2025 12:00
Westwood Chateau Apartments,WC,2 Bd/4 Person,Male,0,2/21/2025 12:00
Westwood Palms Apartments,WP,1 Bd/3 Person,Female,0,2/21/2025 12:00
Westwood Palms Apartments,WP,2 Bd/3 Person-Double,Female,0,2/21/2025 12:00
Westwood Palms Apartments,WP,2 Bd/3 Person-Double,Gender Inclusive,0,2/21/2025 12:00
Westwood Palms Apartments,WP,2 Bd/3 Person-Double,Male,0,2/21/2025 12:00
Westwood Palms Apartments,WP,2 Bd/4 Person,Female,0,2/21/2025 12:00
Westwood Palms Apartments,WP,2 Bd/4 Person,Gender Inclusive,0,2/21/2025 12:00
Westwood Palms Apartments,WP,2 Bd/4 Person,Male,0,2/21/2025 12:00
De Neve Plaza,DEN,Plaza Triple/Private Bath,Female,204,3/4/2025 13:01
De Neve Plaza,DEN,Plaza Triple/Private Bath,Gender Inclusive,6,3/4/2025 13:01
De Neve Plaza,DEN,Plaza Triple/Private Bath,Male,22,3/4/2025 13:01
De Neve Plaza,DEN,Plaza Triple/Private Bath,Non-Binary,0,3/4/2025 13:01
De Neve Residence Hall,DN,Deluxe Triple,Female,12,3/4/2025 13:01
De Neve Residence Hall,DN,Deluxe Triple,Gender Inclusive,3,3/4/2025 13:01
De Neve Residence Hall,DN,Deluxe Triple,Male,0,3/4/2025 13:01
Dykstra Hall,DYK,Classic Triple,Female,321,3/4/2025 13:01
Dykstra Hall,DYK,Classic Triple,Gender Inclusive,31,3/4/2025 13:01
Dykstra Hall,DYK,Classic Triple,Male,195,3/4/2025 13:01
Hedrick Hall,HED,Classic Triple,Female,547,3/4/2025 13:01
Hedrick Hall,HED,Classic Triple,Gender Inclusive,48,3/4/2025 13:01
Hedrick Hall,HED,Classic Triple,Male,357,3/4/2025 13:01
Hitch Suites,HIT,Suite Triple/Shared Bath,Female,110,3/4/2025 13:01
Hitch Suites,HIT,Suite Triple/Shared Bath,Gender Inclusive,2,3/4/2025 13:01
Hitch Suites,HIT,Suite Triple/Shared Bath,Male,0,3/4/2025 13:01
Olympic / Centennial,OC,Deluxe Triple,Female,15,3/4/2025 13:01
Olympic / Centennial,OC,Deluxe Triple,Gender Inclusive,14,3/4/2025 13:01
Olympic / Centennial,OC,Deluxe Triple,Male,0,3/4/2025 13:01
Olympic / Centennial,OC,Deluxe Triple,Non-Binary,0,3/4/2025 13:01
Rieber Hall,RIE,Classic Triple,Female,473,3/4/2025 13:01
Rieber Hall,RIE,Classic Triple,Gender Inclusive,45,3/4/2025 13:01
Rieber Hall,RIE,Classic Triple,Male,343,3/4/2025 13:01
Rieber Terrace,RT,Plaza Triple/Private Bath,Female,0,3/4/2025 13:01
Rieber Terrace,RT,Plaza Triple/Private Bath,Male,0,3/4/2025 13:01
Rieber Terrace,RT,Plaza Triple/Private Bath,Non-Binary,0,3/4/2025 13:01
Rieber Terrace,RT,Plaza Triple/Shared Bath,Female,62,3/4/2025 13:01
Rieber Terrace,RT,Plaza Triple/Shared Bath,Gender Inclusive,27,3/4/2025 13:01
Rieber Terrace,RT,Plaza Triple/Shared Bath,Male,30,3/4/2025 13:01
Rieber Vista,RV,Plaza Triple/Private Bath,Female,0,3/4/2025 13:01
Rieber Vista,RV,Plaza Triple/Private Bath,Male,0,3/4/2025 13:01
Rieber Vista,RV,Plaza Triple/Shared Bath,Female,144,3/4/2025 13:01
Rieber Vista,RV,Plaza Triple/Shared Bath,Gender Inclusive,21,3/4/2025 13:01
Rieber Vista,RV,Plaza Triple/Shared Bath,Male,100,3/4/2025 13:01
Rieber Vista,RV,Plaza Triple/Shared Bath,Non-Binary,2,3/4/2025 13:01
Saxon Suites,SAX,Suite Triple/Shared Bath,Female,19,3/4/2025 13:01
Saxon Suites,SAX,Suite Triple/Shared Bath,Gender Inclusive,0,3/4/2025 13:01
Saxon Suites,SAX,Suite Triple/Shared Bath,Male,0,3/4/2025 13:01
Sproul Landing / Cove,SLC,Deluxe Triple,Female,12,3/4/2025 13:01
Sproul Landing / Cove,SLC,Deluxe Triple,Gender Inclusive,4,3/4/2025 13:01
Sproul Landing / Cove,SLC,Deluxe Triple,Male,0,3/4/2025 13:01
Sproul Landing / Cove,SLC,Deluxe Triple,Non-Binary,0,3/4/2025 13:01
Sproul Landing / Cove,SLC,Deluxe Triple,Other,0,3/4/2025 13:01
Hedrick Summit,SMT,Plaza Triple/Shared Bath,Female,372,3/4/2025 13:01
Hedrick Summit,SMT,Plaza Triple/Shared Bath,Gender Inclusive,30,3/4/2025 13:01
Hedrick Summit,SMT,Plaza Triple/Shared Bath,Male,231,3/4/2025 13:01
Sproul Hall,SPR,Classic Triple,Female,243,3/4/2025 13:01
Sproul Hall,SPR,Classic Triple,Gender Inclusive,27,3/4/2025 13:01
Sproul Hall,SPR,Classic Triple,Male,162,3/4/2025 13:01
Sproul Hall,SPR,Classic Triple,Non-Binary,2,3/4/2025 13:01
Sunset Village,SV,Plaza Triple/Private Bath,Female,124,3/4/2025 13:01
Sunset Village,SV,Plaza Triple/Private Bath,Gender Inclusive,10,3/4/2025 13:01
Sunset Village,SV,Plaza Triple/Private Bath,Male,14,3/4/2025 13:01
Sunset Village,SV,Plaza Triple/Private Bath,Non-Binary,4,3/4/2025 13:01
Sunset Village,SV,Plaza Triple/Shared Bath,Female,151,3/4/2025 13:01
Sunset Village,SV,Plaza Triple/Shared Bath,Gender Inclusive,9,3/4/2025 13:01
Sunset Village,SV,Plaza Triple/Shared Bath,Male,110,3/4/2025 13:01
Sunset Village,SV,Plaza Triple/Shared Bath,Non-Binary,1,3/4/2025 13:01
Gayley Court Apartments,GC,2 Bd/4 Person,Female,0,3/4/2025 13:01
Gayley Court Apartments,GC,2 Bd/4 Person,Gender Inclusive,0,3/4/2025 13:01
Gayley Court Apartments,GC,2 Bd/4 Person,Male,0,3/4/2025 13:01
Gayley Court Apartments,GC,2 Bd/4 Person,Non-Binary,0,3/4/2025 13:01
Gayley Heights,GH,1 Bd/3 Person,Female,0,3/4/2025 13:01
Gayley Heights,GH,1 Bd/3 Person,Gender Inclusive,0,3/4/2025 13:01
Gayley Heights,GH,1 Bd/3 Person,Male,0,3/4/2025 13:01
Gayley Heights,GH,2 Bd/5 Person-Double,Female,0,3/4/2025 13:01
Gayley Heights,GH,2 Bd/5 Person-Double,Male,0,3/4/2025 13:01
Gayley Heights,GH,2 Bd/5 Person-Triple,Female,0,3/4/2025 13:01
Gayley Heights,GH,2 Bd/5 Person-Triple,Male,0,3/4/2025 13:01
Gayley Heights,GH,2 Bd/6 Person,Female,0,3/4/2025 13:01
Gayley Heights,GH,2 Bd/6 Person,Gender Inclusive,0,3/4/2025 13:01
Gayley Heights,GH,2 Bd/6 Person,Male,0,3/4/2025 13:01
Gayley Heights,GH,2 Bd/7 Person-Quad,Female,0,3/4/2025 13:01
Gayley Heights,GH,2 Bd/7 Person-Quad,Gender Inclusive,0,3/4/2025 13:01
Gayley Heights,GH,2 Bd/7 Person-Quad,Male,0,3/4/2025 13:01
Gayley Heights,GH,2 Bd/7 Person-Triple,Female,0,3/4/2025 13:01
Gayley Heights,GH,2 Bd/7 Person-Triple,Gender Inclusive,0,3/4/2025 13:01
Gayley Heights,GH,2 Bd/7 Person-Triple,Male,0,3/4/2025 13:01
Gayley Heights,GH,3 Bd/8 Person-Double,Female,0,3/4/2025 13:01
Gayley Heights,GH,3 Bd/8 Person-Double,Male,0,3/4/2025 13:01
Gayley Heights,GH,3 Bd/8 Person-Triple,Female,0,3/4/2025 13:01
Gayley Heights,GH,3 Bd/8 Person-Triple,Male,0,3/4/2025 13:01
Gayley Heights,GH,4 Bd/10 Person-Double,Female,0,3/4/2025 13:01
Gayley Heights,GH,4 Bd/10 Person-Double,Gender Inclusive,0,3/4/2025 13:01
Gayley Heights,GH,4 Bd/10 Person-Double,Male,0,3/4/2025 13:01
Gayley Heights,GH,4 Bd/10 Person-Triple,Female,0,3/4/2025 13:01
Gayley Heights,GH,4 Bd/10 Person-Triple,Gender Inclusive,0,3/4/2025 13:01
Gayley Heights,GH,4 Bd/10 Person-Triple,Male,0,3/4/2025 13:01
Glenrock Apartments,GR,2 Bd/3 Person-Double,Female,0,3/4/2025 13:01
Glenrock Apartments,GR,2 Bd/3 Person-Double,Male,0,3/4/2025 13:01
Glenrock Apartments,GR,2 Bd/4 Person,Female,0,3/4/2025 13:01
Glenrock Apartments,GR,2 Bd/4 Person,Gender Inclusive,0,3/4/2025 13:01
Glenrock Apartments,GR,2 Bd/4 Person,Male,0,3/4/2025 13:01
Glenrock West Apartments,GW,1 Bd/3 Person,Female,0,3/4/2025 13:01
Glenrock West Apartments,GW,1 Bd/3 Person,Gender Inclusive,0,3/4/2025 13:01
Glenrock West Apartments,GW,1 Bd/3 Person,Male,0,3/4/2025 13:01
Glenrock West Apartments,GW,1 Bd/3 Person,Non-Binary,1,3/4/2025 13:01
Glenrock West Apartments,GW,2 Bd/3 Person-Double,Female,0,3/4/2025 13:01
Glenrock West Apartments,GW,2 Bd/3 Person-Double,Male,0,3/4/2025 13:01
Glenrock West Apartments,GW,2 Bd/4 Person,Female,0,3/4/2025 13:01
Glenrock West Apartments,GW,2 Bd/4 Person,Gender Inclusive,0,3/4/2025 13:01
Glenrock West Apartments,GW,2 Bd/4 Person,Male,0,3/4/2025 13:01
Laurel,LA,2 Bd/4 Person,Female,0,3/4/2025 13:01
Laurel,LA,2 Bd/4 Person,Gender Inclusive,0,3/4/2025 13:01
Laurel,LA,2 Bd/4 Person,Male,0,3/4/2025 13:01
Laurel,LA,2 Bd/4 Person,Non-Binary,0,3/4/2025 13:01
Laurel,LA,4 Bd/10 Person-Double,Female,0,3/4/2025 13:01
Laurel,LA,4 Bd/10 Person-Double,Gender Inclusive,0,3/4/2025 13:01
Laurel,LA,4 Bd/10 Person-Double,Male,0,3/4/2025 13:01
Laurel,LA,4 Bd/10 Person-Double,Non-Binary,0,3/4/2025 13:01
Laurel,LA,4 Bd/10 Person-Triple,Female,40,3/4/2025 13:01
Laurel,LA,4 Bd/10 Person-Triple,Gender Inclusive,0,3/4/2025 13:01
Laurel,LA,4 Bd/10 Person-Triple,Male,71,3/4/2025 13:01
Laurel,LA,4 Bd/10 Person-Triple,Non-Binary,4,3/4/2025 13:01
Landfair Apartments,LF,2 Bd/4 Person,Female,0,3/4/2025 13:01
Landfair Apartments,LF,2 Bd/4 Person,Gender Inclusive,0,3/4/2025 13:01
Landfair Apartments,LF,2 Bd/4 Person,Male,0,3/4/2025 13:01
Levering Terrace Apartments,LT,1 Bd/3 Person,Female,0,3/4/2025 13:01
Levering Terrace Apartments,LT,1 Bd/3 Person,Male,0,3/4/2025 13:01
Levering Terrace Apartments,LT,2 Bd/7 Person-Quad,Female,0,3/4/2025 13:01
